"Verse","Word","Proper Noun"
"050101","Τὸν",""
"050101","μὲν",""
"050101","πρῶτον",""
"050101","λόγον",""
"050101","ἐποιησάμην",""
"050101","περὶ",""
"050101","πάντων",""
"050101","ὦ",""
"050101","Θεόφιλε","TRUE,PERSON"
"050101","ὧν",""
"050101","ἤρξατο",""
"050101","ὁ",""
"050101","Ἰησοῦς","TRUE,PERSON"
"050101","ποιεῖν",""
"050101","τε",""
"050101","καὶ",""
"050101","διδάσκειν",""
"050102","ἄχρι",""
"050102","ἧς",""
"050102","ἡμέρας",""
"050102","ἐντειλάμενος",""
"050102","τοῖς",""
"050102","ἀποστόλοις","TRUE,ORG"
"050102","διὰ",""
"050102","πνεύματος","TRUE,DIVINE"
"050102","ἁγίου","TRUE,DIVINE"
"050102","οὓς",""
"050102","ἐξελέξατο",""
"050102","ἀνελήμφθη",""
"050103","οἷς",""
"050103","καὶ",""
"050103","παρέστησεν",""
"050103","ἑαυτὸν",""
"050103","ζῶντα",""
"050103","μετὰ",""
"050103","τὸ",""
"050103","παθεῖν",""
"050103","αὐτὸν",""
"050103","ἐν",""
"050103","πολλοῖς",""
"050103","τεκμηρίοις",""
"050103","δι’",""
"050103","ἡμερῶν",""
"050103","τεσσεράκοντα",""
"050103","ὀπτανόμενος",""
"050103","αὐτοῖς",""
"050103","καὶ",""
"050103","λέγων",""
"050103","τὰ",""
"050103","περὶ",""
"050103","τῆς",""
"050103","βασιλείας",""
"050103","τοῦ",""
"050103","θεοῦ","TRUE,DIVINE"
"050104","καὶ",""
"050104","συναλιζόμενος",""
"050104","παρήγγειλεν",""
"050104","αὐτοῖς",""
"050104","ἀπὸ",""
"050104","Ἱεροσολύμων","TRUE,GPE"
"050104","μὴ",""
"050104","χωρίζεσθαι",""
"050104","ἀλλὰ",""
"050104","περιμένειν",""
"050104","τὴν",""
"050104","ἐπαγγελίαν",""
"050104","τοῦ",""
"050104","πατρὸς","TRUE,DIVINE"
"050104","ἣν",""
"050104","ἠκούσατέ",""
"050104","μου",""
"050105","ὅτι",""
"050105","Ἰωάννης","TRUE,PERSON"
"050105","μὲν",""
"050105","ἐβάπτισεν",""
"050105","ὕδατι",""
"050105","ὑμεῖς",""
"050105","δὲ",""
"050105","ἐν",""
"050105","πνεύματι","TRUE,DIVINE"
"050105","βαπτισθήσεσθε",""
"050105","ἁγίῳ",""
"050105","οὐ",""
"050105","μετὰ",""
"050105","πολλὰς",""
"050105","ταύτας",""
"050105","ἡμέρας",""
"050106","Οἱ",""
"050106","μὲν",""
"050106","οὖν",""
"050106","συνελθόντες",""
"050106","ἠρώτων",""
"050106","αὐτὸν",""
"050106","λέγοντες",""
"050106","Κύριε","TRUE,TITLE"
"050106","εἰ",""
"050106","ἐν",""
"050106","τῷ",""
"050106","χρόνῳ",""
"050106","τούτῳ",""
"050106","ἀποκαθιστάνεις",""
"050106","τὴν",""
"050106","βασιλείαν",""
"050106","τῷ",""
